"cidade";"ID"
"Marabá (PA)";"E M E F JOEL PEREIRA CUNHA (15129047)"
"Marabá (PA)";"EMEF JULIETA GOMES LEITAO (15129063)"
"Marabá (PA)";"E M E F TANCREDO NEVES (15129110)"
"Marabá (PA)";"E M E F ADELAIDE MOLINARI (15129128)"
"Marabá (PA)";"E M E F MARECHAL RONDON (15129136)"
"Marabá (PA)";"E M E F PROF� MIRIAN MOREIRA DOS REIS (15129152)"
"Marabá (PA)";"E M E F PRINCESA ISABEL (15129268)"
"Marabá (PA)";"E M E F PROF RAIMUNDINHO (15129276)"
"Marabá (PA)";"E M E F RUI BARBOSA (15129284)"
"Marabá (PA)";"E M E F SANTA ROSA (15129330)"
"Marabá (PA)";"EMEF SAO RAIMUNDO I (15129390)"
"Marabá (PA)";"E M E F 07 DE SETEMBRO (15129403)"
"Marabá (PA)";"E M E F SILVINO SANTIS (15129411)"
"Marabá (PA)";"EMEF SANTA TEREZINHA (15129420)"
"Marabá (PA)";"E M E F URBANO CANTUARIO (15129438)"
"Marabá (PA)";"EMEF CISNE BRANCO (15129489)"
"Marabá (PA)";"E M E F FELIPA SERRAO BOTELHO (15129500)"
"Marabá (PA)";"E M E F SALOME CARVALHO (15129519)"
"Marabá (PA)";"E M E F UNIAO DO POVO (15146413)"
"Marabá (PA)";"EMEF PROFESSORA CELIA DE JESUS SILVA PINTO (15146421)"
"Marabá (PA)";"E M E F SANTO ANTONIO (15146693)"
"Marabá (PA)";"E M E F JEAN PIAGET (15146863)"
"Marabá (PA)";"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA FATIMA MARIA F GADELHA (15146898)"
"Marabá (PA)";"ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARCOS FREIRE (15147100)"
"Marabá (PA)";"EMEF PROF� EVANDRO DOS SANTOS VIANA (15151298)"
"Marabá (PA)";"CENTRO DE APOIO PEDAGOGICO E ATENDIMENTO EDUCACIONAL ESPECIALIZADO IGNACIO BAPTISTA MOURA (15156575)"
"Marabá (PA)";"EMEF PROFESSORA DORALICE DE ANDRADE VIEIRA (15160106)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROFESSORA EUNICE VIEIRA LEMOS SOUSA (15161854)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROFESSOR JOSE DE SOUZA ANDRADE FILHO (15161862)"
"Marabá (PA)";"NEI MARIA CLARA MACHADO (15162060)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL EDIVAN ALVES PEREIRA (15164098)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL CLARICE LISPECTOR (15164101)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROFESSORA MARIA BARBOSA DA SILVA (15164110)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL NEUTON MIRANDA (15164136)"
"Marabá (PA)";"NEI TARCILA DO AMARAL (15164144)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL QUEZIA DA SILVA SOUSA (15164578)"
"Marabá (PA)";"NEI PROF� IRISMAR FERNANDES DE SOUZA (15164713)"
"Marabá (PA)";"NEI RAIMUNDA OLIVEIRA ROCHA (15165400)"
"Marabá (PA)";"EMEF RAYARA CARVALHO COSTA (15166074)"
"Marabá (PA)";"EMEF PROF� MARILENE CIRQUEIRA RODRIGUES (15166104)"
"Marabá (PA)";"EMEF PROF� MARIA LUZIA DE OLIVEIRA (15166112)"
"Marabá (PA)";"EMEF PROF MARIA ROSA DOMINGUES SA (15166120)"
"Marabá (PA)";"EMEF PROF MARIA DO SOCORRO LINHARES RODRIGUES (15166147)"
"Marabá (PA)";"EMEF PROF� IZAURA DE FATIMA NOCETI (15166171)"
"Marabá (PA)";"EMEF PROF� DINALVA GOMES DE ARRUDA (15166198)"
"Marabá (PA)";"EMEF PROF� MARIO ANTONIO ALVES DA SILVA (15167852)"
"Marabá (PA)";"NEI PROF� EUNICE RAIMUNDA BRITO DE OLIVEIRA (15167860)"
"Marabá (PA)";"EMEF RUAN PABLO DA CONCEICAO MOREIRA (15169715)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL LEIR FERNANDES GOMES (15173577)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROF JURANDY DO ROSARIO VARELA (15173925)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL DANIEL DA SILVA FRANCO (15173933)"
"Marabá (PA)";"NEI PROF� MARLUSE FERREIRA DA SILVA (15224619)"
"Marabá (PA)";"EMEF PROF ALBERTINA SANDRA MOREIRA DOS REIS (15225607)"
"Marabá (PA)";"E M E F MARIA MONTESSORE (15526356)"
"Marabá (PA)";"E M E F CUPUACU (15532151)"
"Marabá (PA)";"EMEF FLOR DA MATA (15532178)"
"Marabá (PA)";"NEI CHAPEUZINHO VERMELHO (15533301)"
"Marabá (PA)";"E M E F PINGO DE GENTE (15534707)"
"Marabá (PA)";"E M E F SOL POENTE (15534723)"
"Marabá (PA)";"E M E F SANTA MARIA (15538311)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL MONTEIRO LOBATO (15546306)"
"Marabá (PA)";"NEI CORA CORALINA (15546314)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROFESSORA MARIA DA CONSOLACAO DE SOUZA (15546322)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL RAIMUNDO ALMEIDA DOS SANTOS (15546330)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL PROFESSOR ANTONIO DE PAULA SILVA (15546349)"
"Marabá (PA)";"NEI ARCO IRIS (15546357)"
"Marabá (PA)";"NEI IZABEL FRANCISCA DO NASCIMENTO (15546373)"
"Marabá (PA)";"NUCLEO DE EDUCACAO INFANTIL OLAVO BILAC (15546390)"
"Marabá (PA)";"NUC EDUC INFANTIL CARLOS DRUMMOND DE ANDRADE (15546403)"
"Marabá (PA)";"E M E F CLARA NUNES (15546411)"
"Marabá (PA)";"E M E F HERBERT DE SOUZA (15546446)"
"Marabá (PA)";"NUC EDUC INFANTIL ANTONIO MONTEIRO (15546454)"
"Marabá (PA)";"E M E F DARCI RIBEIRO II (15546500)"
"Marabá (PA)";"E M E F 1� DE MAIO (15546659)"
"Marabá (PA)";"E M E F JOAO BATISTA (15546691)"
"Marabá (PA)";"E M E F MARIA CATARINA (15546756)"
"Marabá (PA)";"E M E F PEDRO VALLE (15547000)"
"Marabá (PA)";"E M E F VITORIA (15547086)"
"Marabá (PA)";"EMEF PROF DARCY RIBEIRO (15550052)"
"Marabá (PA)";"EMEF CASA BRANCA (15550141)"
"Marabá (PA)";"E M E F CASTRO ALVES (15550150)"
"Marabá (PA)";"E M E F TAPIRAPE (15550168)"
"Marabá (PA)";"EMEF PROF� JOSINEIDE DA SILVA TAVARES (15550184)"
"Marabá (PA)";"EMEF VIRGEM DE NAZARE (15550192)"
"Marabá (PA)";"E M E F SERRA AZUL (15550206)"
"Marabá (PA)";"E M E F DIAMANTE DO ITACAIUNAS (15550214)"
"Marabá (PA)";"E M E F CARLOS LEITAO (15550222)"
"Marabá (PA)";"E M E F RAIO DE SOL (15550230)"
"Marabá (PA)";"E M E F PARAISO DO SABER (15550249)"
